                               Overall Accuracy:                                

                                          Option Combination  Overall    Average  
                           Vowels-Only-No-Others-Percentages   52.27%     52.48%  
                   Vowels-Only-No-Others-Percentages-Twofold   52.27%     52.48%  
                                     All-Percentages-Twofold   51.39%     43.91%  
                     Vowels-Only-Min-500-Percentages-Twofold   51.15%     36.07%  
                                 Vowels-Only-Min-1000-Counts   51.15%     39.25%  
                       Emphasis-Vowels-Only-No-Others-Counts   51.14%     51.57%  
               Emphasis-Vowels-Only-No-Others-Counts-Twofold   51.14%     51.57%  
           Emphasis-Vowels-Only-Min-1000-Percentages-Twofold   50.76%     40.52%  
                                    Emphasis-Min-1000-Counts   50.38%     50.58%  
                                Vowels-Only-No-Others-Counts   50.00%     48.87%  
                        Vowels-Only-No-Others-Counts-Twofold   50.00%     48.87%  
                         Vowels-Only-All-Percentages-Twofold   49.97%     44.71%  
                                       No-Others-Percentages   48.86%     48.36%  
                               No-Others-Percentages-Twofold   48.86%     48.36%  
                            Emphasis-All-Percentages-Twofold   48.61%     50.35%  
                    Vowels-Only-Min-1000-Percentages-Twofold   47.71%     36.49%  
           Emphasis-Vowels-Only-Min-2500-Percentages-Twofold   46.34%     30.22%  
                Emphasis-Vowels-Only-All-Percentages-Twofold   45.15%     44.96%  
                                    Emphasis-Min-2500-Counts   45.12%     33.24%  
                                         Min-100-Percentages   45.10%     44.87%  
                                Emphasis-Min-100-Percentages   44.86%     46.76%  
                               Emphasis-Min-1000-Percentages   44.27%     46.89%  
                                         Min-250-Percentages   43.78%     46.00%  
                               Emphasis-Min-2500-Percentages   42.68%     30.52%  
                            Emphasis-Min-2500-Counts-Twofold   42.68%     28.64%  
                    Vowels-Only-Min-2500-Percentages-Twofold   42.68%     28.64%  
                Emphasis-Vowels-Only-Min-2500-Counts-Twofold   42.68%     28.08%  
                                Emphasis-Min-250-Percentages   42.52%     43.59%  
                                        Min-1000-Percentages   41.98%     44.23%  
                       Emphasis-Min-2500-Percentages-Twofold   41.46%     26.55%  
                                             All-Percentages   40.60%     42.73%  
                   Emphasis-Vowels-Only-Min-2500-Percentages   40.24%     28.24%  
                                     Min-2500-Counts-Twofold   39.02%     26.27%  
                         Vowels-Only-Min-2500-Counts-Twofold   39.02%     24.83%  
                        Emphasis-Vowels-Only-Min-2500-Counts   39.02%     27.38%  
                                    Emphasis-All-Percentages   38.36%     49.49%  
                                             Min-2500-Counts   37.80%     30.62%  
                                Emphasis-Min-500-Percentages   37.66%     41.63%  
                   Emphasis-Vowels-Only-Min-1000-Percentages   37.02%     43.97%  
                                        Min-2500-Percentages   36.59%     28.54%  
                                Min-2500-Percentages-Twofold   36.59%     23.33%  
                            Vowels-Only-Min-2500-Percentages   36.59%     27.32%  
                    Emphasis-Vowels-Only-Min-100-Percentages   36.15%     42.14%  
                                         Min-500-Percentages   35.37%     39.77%  
                                 Vowels-Only-All-Percentages   34.69%     43.36%  
                                 Vowels-Only-Min-2500-Counts   32.93%     24.73%  
                    Emphasis-Vowels-Only-Min-250-Percentages   32.61%     39.64%  
                             Vowels-Only-Min-100-Percentages   32.53%     40.07%  
                    Emphasis-Vowels-Only-Min-500-Percentages   32.32%     42.06%  
                        Emphasis-Vowels-Only-All-Percentages   29.87%     46.68%  
                            Vowels-Only-Min-1000-Percentages   27.48%     42.42%  
                             Vowels-Only-Min-250-Percentages   26.85%     37.29%  
                             Vowels-Only-Min-500-Percentages   26.72%     40.40%  

                               Average Accuracy:                                

                                          Option Combination  Overall    Average  
                              Emphasis-No-Others-Percentages   55.68%     56.06%  
                      Emphasis-No-Others-Percentages-Twofold   55.68%     56.06%  
                                   Emphasis-No-Others-Counts   55.68%     56.02%  
                           Emphasis-No-Others-Counts-Twofold   55.68%     56.02%  
                  Emphasis-Vowels-Only-No-Others-Percentages   54.55%     55.06%  
          Emphasis-Vowels-Only-No-Others-Percentages-Twofold   54.55%     55.06%  
                                            No-Others-Counts   53.41%     52.76%  
                                    No-Others-Counts-Twofold   53.41%     52.76%  
                           Vowels-Only-No-Others-Percentages   52.27%     52.48%  
                   Vowels-Only-No-Others-Percentages-Twofold   52.27%     52.48%  
                       Emphasis-Vowels-Only-No-Others-Counts   51.14%     51.57%  
               Emphasis-Vowels-Only-No-Others-Counts-Twofold   51.14%     51.57%  
                                              Min-250-Counts   69.55%     51.49%  
                                              Min-100-Counts   80.53%     51.45%  
                                             Min-1000-Counts   52.29%     50.92%  
                                                  All-Counts   90.09%     50.76%  
                                    Emphasis-Min-1000-Counts   50.38%     50.58%  
                                         Emphasis-All-Counts   88.80%     50.44%  
                            Emphasis-All-Percentages-Twofold   48.61%     50.35%  
                                              Min-500-Counts   60.56%     50.24%  
                                     Emphasis-Min-250-Counts   68.11%     50.10%  
                                    Emphasis-All-Percentages   38.36%     49.49%  
                                     Emphasis-Min-500-Counts   60.56%     49.30%  
                                Vowels-Only-No-Others-Counts   50.00%     48.87%  
                        Vowels-Only-No-Others-Counts-Twofold   50.00%     48.87%  
                                       No-Others-Percentages   48.86%     48.36%  
                               No-Others-Percentages-Twofold   48.86%     48.36%  
                                     Emphasis-Min-100-Counts   78.36%     47.90%  
                               Emphasis-Min-1000-Percentages   44.27%     46.89%  
                                Emphasis-Min-100-Percentages   44.86%     46.76%  
                        Emphasis-Vowels-Only-All-Percentages   29.87%     46.68%  
                                          All-Counts-Twofold   91.85%     46.61%  
                                 Emphasis-All-Counts-Twofold   91.51%     46.04%  
                                         Min-250-Percentages   43.78%     46.00%  
                             Emphasis-Vowels-Only-All-Counts   91.85%     45.76%  
                         Emphasis-Vowels-Only-Min-250-Counts   74.77%     45.65%  
                             Emphasis-Min-250-Counts-Twofold   75.86%     45.43%  
                             Emphasis-Min-500-Counts-Twofold   68.96%     45.42%  
                         Emphasis-Vowels-Only-Min-100-Counts   83.07%     45.37%  
                                      Min-250-Counts-Twofold   77.30%     45.23%  
                                  Vowels-Only-Min-250-Counts   76.40%     45.05%  
                                      Min-100-Counts-Twofold   84.28%     45.04%  
                        Emphasis-Min-100-Percentages-Twofold   60.34%     44.98%  
                Emphasis-Vowels-Only-All-Percentages-Twofold   45.15%     44.96%  
                                         Min-100-Percentages   45.10%     44.87%  
                                      Vowels-Only-All-Counts   92.06%     44.83%  
                         Vowels-Only-All-Percentages-Twofold   49.97%     44.71%  
                        Emphasis-Min-500-Percentages-Twofold   57.25%     44.63%  
                                      Min-500-Counts-Twofold   69.47%     44.41%  
                       Emphasis-Min-1000-Percentages-Twofold   53.44%     44.36%  
                            Emphasis-Min-1000-Counts-Twofold   57.25%     44.26%  
                                        Min-1000-Percentages   41.98%     44.23%  
                         Emphasis-Vowels-Only-Min-500-Counts   65.14%     44.22%  
                             Emphasis-Min-100-Counts-Twofold   83.56%     44.08%  
                                  Vowels-Only-Min-100-Counts   84.52%     43.98%  
                   Emphasis-Vowels-Only-Min-1000-Percentages   37.02%     43.97%  
                                     All-Percentages-Twofold   51.39%     43.91%  
                                Min-1000-Percentages-Twofold   55.34%     43.76%  
                                Emphasis-Min-250-Percentages   42.52%     43.59%  
                     Vowels-Only-Min-100-Percentages-Twofold   56.95%     43.36%  
                                 Min-100-Percentages-Twofold   60.22%     43.36%  
                                 Vowels-Only-All-Percentages   34.69%     43.36%  
                                             All-Percentages   40.60%     42.73%  
            Emphasis-Vowels-Only-Min-250-Percentages-Twofold   54.23%     42.68%  
                        Emphasis-Vowels-Only-Min-1000-Counts   52.67%     42.67%  
            Emphasis-Vowels-Only-Min-100-Percentages-Twofold   56.23%     42.63%  
                                  Vowels-Only-Min-500-Counts   65.65%     42.54%  
                                 Min-250-Percentages-Twofold   60.00%     42.53%  
                            Vowels-Only-Min-1000-Percentages   27.48%     42.42%  
                    Emphasis-Vowels-Only-Min-100-Percentages   36.15%     42.14%  
                    Emphasis-Vowels-Only-Min-500-Percentages   32.32%     42.06%  
                                Emphasis-Min-500-Percentages   37.66%     41.63%  
                                     Min-1000-Counts-Twofold   58.02%     41.54%  
                        Emphasis-Min-250-Percentages-Twofold   58.02%     41.13%  
            Emphasis-Vowels-Only-Min-500-Percentages-Twofold   53.44%     40.68%  
           Emphasis-Vowels-Only-Min-1000-Percentages-Twofold   50.76%     40.52%  
                             Vowels-Only-Min-500-Percentages   26.72%     40.40%  
                             Vowels-Only-Min-100-Percentages   32.53%     40.07%  
                                 Min-500-Percentages-Twofold   55.98%     39.92%  
                                         Min-500-Percentages   35.37%     39.77%  
                    Emphasis-Vowels-Only-Min-250-Percentages   32.61%     39.64%  
                                 Vowels-Only-Min-1000-Counts   51.15%     39.25%  
                 Emphasis-Vowels-Only-Min-500-Counts-Twofold   71.76%     38.82%  
                             Vowels-Only-Min-250-Percentages   26.85%     37.29%  
                 Emphasis-Vowels-Only-Min-250-Counts-Twofold   79.28%     37.15%  
                    Vowels-Only-Min-1000-Percentages-Twofold   47.71%     36.49%  
                     Vowels-Only-Min-500-Percentages-Twofold   51.15%     36.07%  
                     Vowels-Only-Min-250-Percentages-Twofold   52.79%     35.58%  
                 Emphasis-Vowels-Only-Min-100-Counts-Twofold   86.70%     35.24%  
                          Vowels-Only-Min-100-Counts-Twofold   87.42%     35.07%  
                Emphasis-Vowels-Only-Min-1000-Counts-Twofold   57.25%     34.84%  
                          Vowels-Only-Min-250-Counts-Twofold   81.08%     34.75%  
                     Emphasis-Vowels-Only-All-Counts-Twofold   93.08%     34.45%  
                          Vowels-Only-Min-500-Counts-Twofold   72.26%     34.04%  
                              Vowels-Only-All-Counts-Twofold   93.69%     33.59%  
                                    Emphasis-Min-2500-Counts   45.12%     33.24%  
                         Vowels-Only-Min-1000-Counts-Twofold   59.54%     32.55%  
                                             Min-2500-Counts   37.80%     30.62%  
                               Emphasis-Min-2500-Percentages   42.68%     30.52%  
           Emphasis-Vowels-Only-Min-2500-Percentages-Twofold   46.34%     30.22%  
                            Emphasis-Min-2500-Counts-Twofold   42.68%     28.64%  
                    Vowels-Only-Min-2500-Percentages-Twofold   42.68%     28.64%  
                                        Min-2500-Percentages   36.59%     28.54%  
                   Emphasis-Vowels-Only-Min-2500-Percentages   40.24%     28.24%  
                Emphasis-Vowels-Only-Min-2500-Counts-Twofold   42.68%     28.08%  
                        Emphasis-Vowels-Only-Min-2500-Counts   39.02%     27.38%  
                            Vowels-Only-Min-2500-Percentages   36.59%     27.32%  
                       Emphasis-Min-2500-Percentages-Twofold   41.46%     26.55%  
                                     Min-2500-Counts-Twofold   39.02%     26.27%  
                         Vowels-Only-Min-2500-Counts-Twofold   39.02%     24.83%  
                                 Vowels-Only-Min-2500-Counts   32.93%     24.73%  
                                Min-2500-Percentages-Twofold   36.59%     23.33%  
