                               Overall Accuracy:                                

                                          Option Combination  Overall    Average  
                                  Vowels-Only-Min-500-Counts   72.52%     63.15%  
                          Vowels-Only-Min-500-Counts-Twofold   72.52%     63.15%  
                            Vowels-Only-Min-2500-Percentages   71.95%     68.91%  
                    Vowels-Only-Min-2500-Percentages-Twofold   71.95%     68.91%  
                                    Emphasis-Min-1000-Counts   71.76%     69.36%  
                            Emphasis-Min-1000-Counts-Twofold   71.76%     69.36%  
                        Emphasis-Vowels-Only-Min-1000-Counts   70.99%     64.54%  
                Emphasis-Vowels-Only-Min-1000-Counts-Twofold   70.99%     64.54%  
                                Emphasis-Min-250-Percentages   70.99%     68.83%  
                        Emphasis-Min-250-Percentages-Twofold   70.99%     68.83%  
                                         Min-500-Percentages   70.48%     69.03%  
                                 Min-500-Percentages-Twofold   70.48%     69.03%  
                           Vowels-Only-No-Others-Percentages   70.45%     73.70%  
                   Vowels-Only-No-Others-Percentages-Twofold   70.45%     73.70%  
                    Emphasis-Vowels-Only-Min-500-Percentages   69.47%     68.40%  
                                             Min-1000-Counts   69.47%     67.21%  
            Emphasis-Vowels-Only-Min-500-Percentages-Twofold   69.47%     68.40%  
                                     Min-1000-Counts-Twofold   69.47%     67.21%  
                                 Vowels-Only-Min-1000-Counts   69.47%     62.14%  
                         Vowels-Only-Min-1000-Counts-Twofold   69.47%     62.14%  
                   Emphasis-Vowels-Only-Min-1000-Percentages   69.47%     65.76%  
           Emphasis-Vowels-Only-Min-1000-Percentages-Twofold   69.47%     65.76%  
                                       No-Others-Percentages   69.32%     68.14%  
                               No-Others-Percentages-Twofold   69.32%     68.14%  
                                         Min-250-Percentages   68.83%     65.28%  
                                 Min-250-Percentages-Twofold   68.83%     65.28%  
                                Emphasis-Min-100-Percentages   68.80%     66.58%  
                        Emphasis-Min-100-Percentages-Twofold   68.80%     66.58%  
                    Emphasis-Vowels-Only-Min-250-Percentages   68.65%     65.91%  
            Emphasis-Vowels-Only-Min-250-Percentages-Twofold   68.65%     65.91%  
                                        Min-1000-Percentages   67.18%     65.78%  
                                Min-1000-Percentages-Twofold   67.18%     65.78%  
                    Emphasis-Vowels-Only-Min-100-Percentages   66.87%     65.11%  
            Emphasis-Vowels-Only-Min-100-Percentages-Twofold   66.87%     65.11%  
                             Vowels-Only-Min-500-Percentages   66.16%     65.84%  
                     Vowels-Only-Min-500-Percentages-Twofold   66.16%     65.84%  
                                         Min-100-Percentages   65.54%     60.97%  
                                 Min-100-Percentages-Twofold   65.54%     60.97%  
                            Vowels-Only-Min-1000-Percentages   64.12%     60.98%  
                    Vowels-Only-Min-1000-Percentages-Twofold   64.12%     60.98%  
                             Vowels-Only-Min-100-Percentages   62.76%     60.68%  
                     Vowels-Only-Min-100-Percentages-Twofold   62.76%     60.68%  
                             Vowels-Only-Min-250-Percentages   62.70%     60.41%  
                     Vowels-Only-Min-250-Percentages-Twofold   62.70%     60.41%  
                                             All-Percentages   61.10%     63.56%  
                                     All-Percentages-Twofold   61.10%     63.56%  
                                    Emphasis-All-Percentages   59.74%     65.40%  
                            Emphasis-All-Percentages-Twofold   59.74%     65.40%  
                         Vowels-Only-All-Percentages-Twofold   59.40%     60.01%  
                                 Vowels-Only-All-Percentages   59.40%     60.01%  
                        Emphasis-Vowels-Only-All-Percentages   58.25%     64.57%  
                Emphasis-Vowels-Only-All-Percentages-Twofold   58.25%     64.57%  

                               Average Accuracy:                                

                                          Option Combination  Overall    Average  
                                    Emphasis-Min-2500-Counts   80.49%     76.89%  
                            Emphasis-Min-2500-Counts-Twofold   80.49%     76.89%  
                           Vowels-Only-No-Others-Percentages   70.45%     73.70%  
                   Vowels-Only-No-Others-Percentages-Twofold   70.45%     73.70%  
                                     Emphasis-Min-500-Counts   75.06%     72.36%  
                             Emphasis-Min-500-Counts-Twofold   75.06%     72.36%  
                               Emphasis-Min-2500-Percentages   76.83%     71.85%  
                       Emphasis-Min-2500-Percentages-Twofold   76.83%     71.85%  
                                            No-Others-Counts   75.00%     71.31%  
                                    No-Others-Counts-Twofold   75.00%     71.31%  
                                   Emphasis-No-Others-Counts   75.00%     71.31%  
                           Emphasis-No-Others-Counts-Twofold   75.00%     71.31%  
                                Emphasis-Min-500-Percentages   73.28%     71.26%  
                        Emphasis-Min-500-Percentages-Twofold   73.28%     71.26%  
                               Emphasis-Min-1000-Percentages   73.28%     71.03%  
                       Emphasis-Min-1000-Percentages-Twofold   73.28%     71.03%  
                                     Emphasis-Min-250-Counts   75.68%     69.87%  
                             Emphasis-Min-250-Counts-Twofold   75.68%     69.87%  
                                      Min-500-Counts-Twofold   73.54%     69.38%  
                                              Min-500-Counts   73.54%     69.38%  
                                    Emphasis-Min-1000-Counts   71.76%     69.36%  
                            Emphasis-Min-1000-Counts-Twofold   71.76%     69.36%  
                                         Min-500-Percentages   70.48%     69.03%  
                                 Min-500-Percentages-Twofold   70.48%     69.03%  
                            Vowels-Only-Min-2500-Percentages   71.95%     68.91%  
                    Vowels-Only-Min-2500-Percentages-Twofold   71.95%     68.91%  
                                Emphasis-Min-250-Percentages   70.99%     68.83%  
                        Emphasis-Min-250-Percentages-Twofold   70.99%     68.83%  
                                     Emphasis-Min-100-Counts   79.20%     68.66%  
                             Emphasis-Min-100-Counts-Twofold   79.20%     68.66%  
                    Emphasis-Vowels-Only-Min-500-Percentages   69.47%     68.40%  
            Emphasis-Vowels-Only-Min-500-Percentages-Twofold   69.47%     68.40%  
                                 Vowels-Only-Min-2500-Counts   75.61%     68.28%  
                         Vowels-Only-Min-2500-Counts-Twofold   75.61%     68.28%  
                                       No-Others-Percentages   69.32%     68.14%  
                               No-Others-Percentages-Twofold   69.32%     68.14%  
                       Emphasis-Vowels-Only-No-Others-Counts   77.27%     67.65%  
               Emphasis-Vowels-Only-No-Others-Counts-Twofold   77.27%     67.65%  
                                        Min-2500-Percentages   74.39%     67.54%  
                                Min-2500-Percentages-Twofold   74.39%     67.54%  
                                             Min-1000-Counts   69.47%     67.21%  
                                     Min-1000-Counts-Twofold   69.47%     67.21%  
                   Emphasis-Vowels-Only-Min-2500-Percentages   78.05%     66.91%  
           Emphasis-Vowels-Only-Min-2500-Percentages-Twofold   78.05%     66.91%  
                                             Min-2500-Counts   73.17%     66.81%  
                                     Min-2500-Counts-Twofold   73.17%     66.81%  
                                Emphasis-Min-100-Percentages   68.80%     66.58%  
                        Emphasis-Min-100-Percentages-Twofold   68.80%     66.58%  
                    Emphasis-Vowels-Only-Min-250-Percentages   68.65%     65.91%  
            Emphasis-Vowels-Only-Min-250-Percentages-Twofold   68.65%     65.91%  
                                         Emphasis-All-Counts   86.49%     65.88%  
                                 Emphasis-All-Counts-Twofold   86.49%     65.88%  
                             Vowels-Only-Min-500-Percentages   66.16%     65.84%  
                     Vowels-Only-Min-500-Percentages-Twofold   66.16%     65.84%  
                                        Min-1000-Percentages   67.18%     65.78%  
                                Min-1000-Percentages-Twofold   67.18%     65.78%  
                                              Min-250-Counts   72.61%     65.76%  
                                      Min-250-Counts-Twofold   72.61%     65.76%  
                   Emphasis-Vowels-Only-Min-1000-Percentages   69.47%     65.76%  
           Emphasis-Vowels-Only-Min-1000-Percentages-Twofold   69.47%     65.76%  
                                              Min-100-Counts   78.23%     65.75%  
                                      Min-100-Counts-Twofold   78.23%     65.75%  
                                    Emphasis-All-Percentages   59.74%     65.40%  
                            Emphasis-All-Percentages-Twofold   59.74%     65.40%  
                         Emphasis-Vowels-Only-Min-500-Counts   72.77%     65.35%  
                 Emphasis-Vowels-Only-Min-500-Counts-Twofold   72.77%     65.35%  
                                         Min-250-Percentages   68.83%     65.28%  
                                 Min-250-Percentages-Twofold   68.83%     65.28%  
                              Emphasis-No-Others-Percentages   72.73%     65.12%  
                      Emphasis-No-Others-Percentages-Twofold   72.73%     65.12%  
                  Emphasis-Vowels-Only-No-Others-Percentages   72.73%     65.12%  
          Emphasis-Vowels-Only-No-Others-Percentages-Twofold   72.73%     65.12%  
                    Emphasis-Vowels-Only-Min-100-Percentages   66.87%     65.11%  
            Emphasis-Vowels-Only-Min-100-Percentages-Twofold   66.87%     65.11%  
                        Emphasis-Vowels-Only-Min-2500-Counts   79.27%     64.81%  
                Emphasis-Vowels-Only-Min-2500-Counts-Twofold   79.27%     64.81%  
                        Emphasis-Vowels-Only-All-Percentages   58.25%     64.57%  
                Emphasis-Vowels-Only-All-Percentages-Twofold   58.25%     64.57%  
                        Emphasis-Vowels-Only-Min-1000-Counts   70.99%     64.54%  
                Emphasis-Vowels-Only-Min-1000-Counts-Twofold   70.99%     64.54%  
                         Emphasis-Vowels-Only-Min-250-Counts   74.95%     63.88%  
                 Emphasis-Vowels-Only-Min-250-Counts-Twofold   74.95%     63.88%  
                                                  All-Counts   86.69%     63.68%  
                                          All-Counts-Twofold   86.69%     63.68%  
                                             All-Percentages   61.10%     63.56%  
                                     All-Percentages-Twofold   61.10%     63.56%  
                                  Vowels-Only-Min-500-Counts   72.52%     63.15%  
                          Vowels-Only-Min-500-Counts-Twofold   72.52%     63.15%  
                 Emphasis-Vowels-Only-Min-100-Counts-Twofold   79.81%     62.64%  
                         Emphasis-Vowels-Only-Min-100-Counts   79.81%     62.64%  
                                 Vowels-Only-Min-1000-Counts   69.47%     62.14%  
                         Vowels-Only-Min-1000-Counts-Twofold   69.47%     62.14%  
                             Emphasis-Vowels-Only-All-Counts   87.51%     61.25%  
                     Emphasis-Vowels-Only-All-Counts-Twofold   87.51%     61.25%  
                            Vowels-Only-Min-1000-Percentages   64.12%     60.98%  
                    Vowels-Only-Min-1000-Percentages-Twofold   64.12%     60.98%  
                                         Min-100-Percentages   65.54%     60.97%  
                                 Min-100-Percentages-Twofold   65.54%     60.97%  
                                Vowels-Only-No-Others-Counts   73.86%     60.83%  
                        Vowels-Only-No-Others-Counts-Twofold   73.86%     60.83%  
                             Vowels-Only-Min-100-Percentages   62.76%     60.68%  
                     Vowels-Only-Min-100-Percentages-Twofold   62.76%     60.68%  
                             Vowels-Only-Min-250-Percentages   62.70%     60.41%  
                     Vowels-Only-Min-250-Percentages-Twofold   62.70%     60.41%  
                         Vowels-Only-All-Percentages-Twofold   59.40%     60.01%  
                                 Vowels-Only-All-Percentages   59.40%     60.01%  
                          Vowels-Only-Min-100-Counts-Twofold   79.81%     59.29%  
                                  Vowels-Only-Min-100-Counts   79.81%     59.29%  
                                  Vowels-Only-Min-250-Counts   72.97%     58.96%  
                          Vowels-Only-Min-250-Counts-Twofold   72.97%     58.96%  
                                      Vowels-Only-All-Counts   87.03%     58.67%  
                              Vowels-Only-All-Counts-Twofold   87.03%     58.67%  
