character,gender,role,genre,status,word_count
2H6_PETITIONERS.0.1,m,other,history,6,82
2H6_PETITIONERS.0.2,m,other,history,6,43
2H6_PRENTICES.1,m,other,history,5,10
2H6_PRENTICES.2,m,other,history,5,14
2H6_QueenMargaret,f,other,history,0,2503
2H6_RichardIII,m,other,history,1,195
2H6_SERVANTS.GLOUCESTER.0.1,m,other,history,6,13
2H6_SOLDIERS.1,m,other,history,6,4
2H6_Salisbury,m,other,history,1,723
2H6_Sawyer,m,other,history,6,32
2H6_Saye,m,other,history,1,361
2H6_Scales,m,other,history,1,64
2H6_Sheriff,m,other,history,4,34
2H6_Simpcox,m,other,history,6,167
2H6_SimpcoxWife,f,other,history,6,56
2H6_Smith,m,other,history,4,164
2H6_Somerset,m,other,history,1,182
2H6_Spirit,m,other,history,7,61
2H6_Stafford,m,other,history,2,112
2H6_Stanley,m,other,history,2,61
2H6_Suffolk,m,other,history,1,2306
2H6_Thump,m,other,history,5,197
2H6_Vaux,m,other,history,2,84
2H6_Warwick,m,other,history,1,1065
2H6_Whitmore,m,other,history,6,153
2H6_WilliamStafford,m,other,history,2,46
2H6_York,m,other,history,1,2990
2H6_YoungClifford,m,other,history,1,346
3H6_ALDERMEN,m,other,history,1,5
3H6_ATTENDANTS.EDWARD.1,m,other,history,1,16
3H6_Clarence,m,other,history,1,836
3H6_Clifford,m,other,history,1,1092
3H6_EdwardIV,m,other,history,1,3483
3H6_Exeter,m,other,history,1,136
3H6_Father,m,other,history,6,218
3H6_GAMEKEEPERS.1,m,other,history,5,147
3H6_GAMEKEEPERS.2,m,other,history,5,123
3H6_Hastings,m,other,history,1,158
3H6_HenryVI,m,other,history,0,2904
3H6_Huntsman,m,other,history,6,18
3H6_JohnMortimer,m,other,history,2,10
3H6_KingLewis,m,other,history,0,516
3H6_LadyBona,f,other,history,1,71
3H6_Lieutenant,m,other,history,3,21
3H6_MESSENGERS.1,m,other,history,6,6
3H6_MESSENGERS.2,m,other,history,6,8
3H6_MESSENGERS.Post,m,other,history,6,224
3H6_MESSENGERS.X.1,m,other,history,6,32
3H6_MESSENGERS.X.2,m,other,history,6,162
3H6_MESSENGERS.X.3,m,other,history,6,24
3H6_MESSENGERS.X.4,m,other,history,6,46
3H6_MESSENGERS.X.5,m,other,history,6,14
3H6_MayorOfYork,m,other,history,3,48
3H6_Montague,m,other,history,1,118
3H6_Montgomery,m,other,history,2,119
3H6_Norfolk,m,other,history,1,26
3H6_Northumberland,m,other,history,1,244
3H6_Oxford,m,other,history,1,277
3H6_PrinceEdward,m,other,history,1,358
3H6_QueenElizabeth,f,other,history,2,594
3H6_QueenMargaret,f,other,history,0,2246
3H6_RichardIII,m,other,history,1,3174
3H6_Rivers,m,other,history,1,54
3H6_Rutland,m,other,history,1,196
3H6_SOLDIERS.MONTGOMERY,m,other,history,6,5
3H6_SOLDIERS.YORK,m,other,history,6,5
3H6_SOLDIERS.YORK.0.1,m,other,history,6,23
3H6_Somerset,m,other,history,1,262
3H6_Somerville,m,other,history,2,44
3H6_Son,m,other,history,6,190
3H6_Tutor,m,other,history,2,24
3H6_WATCHMEN.1,m,other,history,6,62
3H6_WATCHMEN.2,m,other,history,6,48
3H6_WATCHMEN.3,m,other,history,6,74
3H6_Warwick,m,other,history,1,3414
3H6_Westmorland,m,other,history,1,85
3H6_York,m,other,history,1,1358
AWW_ATTENDANTS.KING.0.1,m,other,comedy,1,32
AWW_ATTENDANTS.KING.0.2,m,other,comedy,1,29
AWW_Bertram,m,antag,comedy,1,2033
AWW_Countess,f,other,comedy,1,2175
AWW_Diana,f,other,comedy,4,1024
AWW_Duke,m,other,comedy,1,124
AWW_Epilogue,m,other,comedy,p,52
AWW_Fool,m,fool,comedy,p,1671
AWW_GENTLEMEN.1,m,other,comedy,2,61
AWW_GENTLEMEN.2,m,other,comedy,2,79
AWW_GENTLEMEN.3,m,other,comedy,p,125
AWW_Helen,f,protag,comedy,p,3586
AWW_King,m,other,comedy,0,2831
AWW_LORDS.COURT.1,m,other,comedy,1,11
AWW_LORDS.COURT.2,m,other,comedy,1,13
AWW_LORDS.COURT.3,m,other,comedy,1,8
AWW_LORDS.COURT.4,m,other,comedy,1,14
AWW_LORDS.DUMAINE.1,m,other,comedy,1,1100
AWW_LORDS.DUMAINE.2,m,other,comedy,1,837
AWW_Lafew,m,other,comedy,1,2219
AWW_Mariana,f,other,comedy,4,172
AWW_Page,m,other,comedy,6,7
AWW_Parolles,m,other,comedy,4,2995
AWW_SOLDIERS,m,other,comedy,6,7
AWW_SOLDIERS.0.1,m,other,comedy,6,14
AWW_SOLDIERS.Interpreter,m,other,comedy,6,607
AWW_Servant,m,other,comedy,6,34
AWW_Steward,m,other,comedy,4,345
AWW_Widow,f,other,comedy,4,435
AYL_Adam,m,other,comedy,6,513
AYL_Audrey,f,other,comedy,6,149
AYL_Celia,f,other,comedy,1,2106
AYL_Charles,m,other,comedy,5,375
AYL_Corin,m,other,comedy,5,549
AYL_Dennis,m,other,comedy,6,17
AYL_DukeFrederick,m,antag,comedy,0,529
AYL_DukeSenior,m,other,comedy,0,808
AYL_Hymen,m,other,comedy,7,134
AYL_Jaques,m,other,comedy,1,1769
AYL_LORDS.FREDERICK.0.1,m,other,comedy,1,32
AYL_LORDS.FREDERICK.0.2,m,other,comedy,1,63
AYL_LORDS.FREDERICK.LeBeau,m,other,comedy,2,371
AYL_LORDS.SENIOR,m,other,comedy,1,39
AYL_LORDS.SENIOR.0.1,m,other,comedy,1,359
AYL_LORDS.SENIOR.0.2,m,other,comedy,1,71
AYL_LORDS.SENIOR.Amiens,m,other,comedy,1,278
AYL_Oliver,m,other,comedy,2,1164
AYL_OliverMartext,m,other,comedy,4,36
AYL_Orlando,m,other,comedy,2,2370
AYL_Phoebe,f,other,comedy,5,694
AYL_Rosalind,f,protag,comedy,1,5697
AYL_SERVANTS.1,m,other,comedy,6,213
AYL_SERVANTS.2,m,other,comedy,6,196
AYL_SecondBrother,m,other,comedy,2,128
AYL_Silvius,m,other,comedy,5,540
AYL_Touchstone,m,other,comedy,p,2374
AYL_William,m,other,comedy,6,41
Ado_ATTENDANTS.0.1,m,other,comedy,1,4
Ado_Antonio,m,other,comedy,1,19
Ado_Balthasar,m,other,comedy,2,180
Ado_Beatrice,f,protag,comedy,1,2359
Ado_Benedick,m,other,comedy,1,3761
Ado_Borachio,m,other,comedy,2,997
Ado_Boy,m,other,comedy,3,6
Ado_Claudio,m,other,comedy,1,2012
Ado_Conrade,m,other,comedy,2,248
Ado_Dogberry,m,fool,comedy,4,1541
Ado_DonJohn,m,antag,comedy,1,900
Ado_DonPedro,m,other,comedy,0,2461
Ado_FriarFrancis,m,other,comedy,2,592
Ado_Hero,f,other,comedy,1,980
Ado_Leonato,m,other,comedy,1,2642
Ado_LeonatosBrother,m,other,comedy,1,396
Ado_MESSENGERS.DONPEDRO.1,m,other,comedy,2,17
Ado_MESSENGERS.LEONATO.1,m,other,comedy,2,211
Ado_MUSICIANS,m,other,comedy,p,48
Ado_Margaret,f,other,comedy,2,548
Ado_Sexton,m,other,comedy,5,106
Ado_Ursula,f,other,comedy,2,362
Ado_Verges,m,other,comedy,5,185
Ado_WATCHMEN.1,m,other,comedy,6,101
Ado_WATCHMEN.2,m,other,comedy,6,24
Ado_WATCHMEN.Seacoal,m,other,comedy,6,106
Ant_ATTENDANTS.ANTONY,m,other,tragedy,6,3
Ant_ATTENDANTS.CAESAR,m,other,tragedy,6,11
Ant_Agrippa,m,other,tragedy,2,376
Ant_Alexas,m,other,tragedy,2,207
Ant_Ambassador,m,other,tragedy,2,107
Ant_Antony,m,protag,tragedy,0,5998
Ant_Boy,m,other,tragedy,6,39
Ant_CAPTAINS,m,other,tragedy,6,17
Ant_CAPTAINS.0.1,m,other,tragedy,6,24
Ant_Canidius,m,other,tragedy,2,165
Ant_Charmian,f,other,tragedy,2,632
Ant_Cleopatra,f,other,tragedy,0,4695
Ant_Countryman,m,other,tragedy,p,252
Ant_Demetrius,m,other,tragedy,2,35
Ant_Diomedes,m,other,tragedy,2,128
Ant_Dolabella,m,other,tragedy,1,286
Ant_Egyptian,m,other,tragedy,6,37
Ant_Enobarbus,m,other,tragedy,1,2436
Ant_Eros,m,other,tragedy,6,284
Ant_GUARDS,m,other,tragedy,6,9
Ant_GUARDS.0.1,m,other,tragedy,6,36
Ant_GUARDS.0.2,m,other,tragedy,6,15
Ant_GUARDS.0.3,m,other,tragedy,6,11
Ant_GUARDS.CAESAR.0.1,m,other,tragedy,6,86
Ant_GUARDS.CAESAR.0.2,m,other,tragedy,6,9
Ant_GUARDS.CAESAR.1,m,other,tragedy,6,21
Ant_GUARDS.Dercetus,m,other,tragedy,6,159
Ant_Gallus,m,other,tragedy,6,24
Ant_Iras,f,other,tragedy,2,160
Ant_LADIES,m,other,tragedy,6,3
Ant_Lepidus,m,other,tragedy,0,411
Ant_MESSENGERS.ANTONY.1,m,other,tragedy,6,83
Ant_MESSENGERS.ANTONY.2,m,other,tragedy,6,9
Ant_MESSENGERS.ANTONY.3,m,other,tragedy,6,22
Ant_MESSENGERS.CAESAR.1,m,other,tragedy,6,49
Ant_MESSENGERS.CAESAR.2,m,other,tragedy,6,67
Ant_MESSENGERS.X.1,m,other,tragedy,6,6
Ant_MESSENGERS.X.2,m,other,tragedy,6,224
Ant_MESSENGERS.X.3,m,other,tragedy,6,13
Ant_MESSENGERS.X.4,m,other,tragedy,6,4
Ant_MESSENGERS.X.5,m,other,tragedy,6,6
Ant_Maecenas,m,other,tragedy,2,255
Ant_Mardian,m,other,tragedy,2,118
Ant_Menas,m,other,tragedy,4,459
Ant_Octavia,f,other,tragedy,1,234
Ant_Octavius,m,antag,tragedy,0,2889
Ant_Philo,m,other,tragedy,2,125
Ant_Pompey,m,other,tragedy,0,931
Ant_Proculeius,m,other,tragedy,2,211
Ant_SERVANTS,m,other,tragedy,6,3
Ant_SERVANTS.0.1,m,other,tragedy,6,69
Ant_SERVANTS.0.2,m,other,tragedy,6,61
Ant_SERVANTS.X.1,m,other,tragedy,6,4
Ant_SERVANTS.X.2,m,other,tragedy,6,7
Ant_SOLDIERS.ANTONY,m,other,tragedy,6,14
Ant_SOLDIERS.ANTONY.0.1,m,other,tragedy,6,79
Ant_SOLDIERS.ANTONY.0.2,m,other,tragedy,6,77
Ant_SOLDIERS.ANTONY.0.3,m,other,tragedy,6,29
Ant_SOLDIERS.ANTONY.0.4,m,other,tragedy,6,20
Ant_SOLDIERS.ANTONY.X.1,m,other,tragedy,6,87
Ant_SOLDIERS.ANTONY.X.2,m,other,tragedy,6,18
Ant_SOLDIERS.ANTONY.X.3,m,other,tragedy,3,63
Ant_SOLDIERS.CAESAR.X.1,m,other,tragedy,6,62
Ant_Scarus,m,other,tragedy,3,267
Ant_Seleucus,m,other,tragedy,2,26
Ant_Silius,m,other,tragedy,3,67
Ant_Soothsayer,m,other,tragedy,p,209
Ant_Taurus,m,other,tragedy,2,2
Ant_Thidias,m,other,tragedy,2,182
Ant_Varrius,m,other,tragedy,3,27
Ant_Ventidius,m,other,tragedy,2,220
Ant_WATCHMEN.1,m,other,tragedy,6,25
Ant_WATCHMEN.2,m,other,tragedy,6,26
Ant_WATCHMEN.Sentry,m,other,tragedy,6,91
Cor_AEDILES,m,other,tragedy,4,2
Cor_AEDILES.X.2,m,other,tragedy,4,39
Cor_AEDILES.X.3,m,other,tragedy,4,38
Cor_Adrian,m,other,tragedy,6,160
Cor_Aufidius,m,other,tragedy,1,2034
Cor_CITIZENS.ANTIUM.1,m,other,tragedy,4,20
Cor_CITIZENS.ROMAN,m,other,tragedy,5,149
Cor_CITIZENS.ROMAN.0.1,m,other,tragedy,5,477
Cor_CITIZENS.ROMAN.0.2,m,other,tragedy,5,460
Cor_CITIZENS.ROMAN.0.3,m,other,tragedy,5,186
Cor_CITIZENS.ROMAN.1,m,other,tragedy,5,94
Cor_CITIZENS.ROMAN.2,m,other,tragedy,5,119
Cor_CITIZENS.ROMAN.3,m,other,tragedy,5,461
Cor_CITIZENS.ROMAN.4,m,other,tragedy,5,69
Cor_CITIZENS.ROMAN.5,m,other,tragedy,5,38
Cor_CITIZENS.ROMAN.6,m,other,tragedy,5,36
Cor_CITIZENS.ROMAN.7,m,other,tragedy,5,42
Cor_CITIZENS.ROMAN.8,m,other,tragedy,5,24
Cor_CITIZENS.VOLSCIAN,m,other,tragedy,5,22
Cor_CONSPIRATORS,m,other,tragedy,5,11
Cor_CONSPIRATORS.0.1,m,other,tragedy,5,67
Cor_CONSPIRATORS.0.2,m,other,tragedy,5,49
Cor_CONSPIRATORS.0.3,m,other,tragedy,5,91
Cor_Cominius,m,other,tragedy,1,1919
Cor_Coriolanus,m,protag,tragedy,1,6481
Cor_Gentlewoman,f,other,tragedy,2,9
Cor_Herald,m,other,tragedy,3,38
Cor_LORDS.VOLSCIAN,m,other,tragedy,1,11
Cor_LORDS.VOLSCIAN.0.1,m,other,tragedy,1,100
Cor_LORDS.VOLSCIAN.0.2,m,other,tragedy,1,72
Cor_LORDS.VOLSCIAN.0.3,m,other,tragedy,1,23
Cor_Lartius,m,other,tragedy,2,394
Cor_MESSENGERS.TRIBUNES.1,m,other,tragedy,6,109
Cor_MESSENGERS.TRIBUNES.2,m,other,tragedy,6,137
Cor_MESSENGERS.X.1,m,other,tragedy,6,12
Cor_MESSENGERS.X.2,m,other,tragedy,6,15
Cor_MESSENGERS.X.3,m,other,tragedy,6,62
Cor_MESSENGERS.X.4,m,other,tragedy,6,71
Cor_Menenius,m,other,tragedy,1,4288
Cor_NOBLES.0.1,m,other,tragedy,1,4
Cor_Nicanor,m,other,tragedy,6,234
Cor_OFFICERS.1,m,other,tragedy,4,114
Cor_OFFICERS.2,m,other,tragedy,4,186
Cor_SENATORS.ROMAN,m,other,tragedy,2,19
Cor_SENATORS.ROMAN.0.1,m,other,tragedy,2,278
Cor_SENATORS.ROMAN.0.2,m,other,tragedy,2,34
Cor_SENATORS.VOLSCIAN,m,other,tragedy,5,5
Cor_SENATORS.VOLSCIAN.0.1,m,other,tragedy,2,108
Cor_SENATORS.VOLSCIAN.0.2,m,other,tragedy,2,45
Cor_SERVANTS.1,m,other,tragedy,6,248
Cor_SERVANTS.2,m,other,tragedy,6,267
Cor_SERVANTS.3,m,other,tragedy,6,397
Cor_SOLDIERS.ROMAN,m,other,tragedy,5,12
Cor_SOLDIERS.ROMAN.0.1,m,other,tragedy,6,57
Cor_SOLDIERS.ROMAN.0.2,m,other,tragedy,6,17
Cor_SOLDIERS.ROMAN.0.3,m,other,tragedy,6,21
Cor_SOLDIERS.ROMAN.Lieutenant,m,other,tragedy,3,5
Cor_SOLDIERS.VOLSCIAN.0.1,m,other,tragedy,6,17
Cor_SOLDIERS.VOLSCIAN.Lieutenant,m,other,tragedy,3,81
Cor_TRIBUNES.Brutus,m,antag,tragedy,4,1603
Cor_TRIBUNES.Sicinius,m,other,tragedy,4,1927
Cor_Valeria,f,other,tragedy,1,355
Cor_Virgilia,f,other,tragedy,1,238
Cor_Volumnia,f,other,tragedy,1,2414
Cor_WATCHMEN.1,m,other,tragedy,6,252
Cor_WATCHMEN.2,m,other,tragedy,6,81
Cor_YoungMartius,m,other,tragedy,1,17
Cym_ATTENDANTS.0.1,m,other,tragedy,6,22
Cym_ATTENDANTS.0.2,m,other,tragedy,1,102
Cym_ATTENDANTS.1,m,other,tragedy,1,506
Cym_ATTENDANTS.2,m,other,tragedy,2,71
Cym_ATTENDANTS.3,m,other,tragedy,1,34
Cym_ATTENDANTS.CLOTEN.1,m,other,tragedy,1,190
Cym_ATTENDANTS.CLOTEN.2,m,other,tragedy,1,313
Cym_Arviragus,m,other,tragedy,1,947
Cym_Belarius,m,other,tragedy,1,2503
Cym_Cloten,m,fool,tragedy,1,2001
Cym_Cornelius,m,other,tragedy,3,522
Cym_Cymbeline,m,other,tragedy,0,1988
Cym_Frenchman,m,other,tragedy,5,180
Cym_GHOSTS.BROTHERS.1,m,other,tragedy,7,73
Cym_GHOSTS.BROTHERS.2,m,other,tragedy,7,44
Cym_GHOSTS.Father,m,other,tragedy,2,230
Cym_GHOSTS.Mother,m,other,tragedy,7,62
Cym_Guiderius,m,other,tragedy,1,1110
Cym_Iachimo,m,antag,tragedy,2,3193
Cym_Imogen,f,protag,tragedy,1,4417
Cym_JAILERS.1,m,other,tragedy,6,412
Cym_JAILERS.2,m,other,tragedy,6,4
Cym_Jupiter,m,other,tragedy,7,154
Cym_LADIES.IMOGEN,f,other,tragedy,1,60
Cym_LADIES.QUEEN,f,other,tragedy,1,6
Cym_LADIES.QUEEN.0.1,f,other,tragedy,1,8
Cym_Lucius,m,other,tragedy,2,721
Cym_MESSENGERS.1,m,other,tragedy,6,12
Cym_MESSENGERS.2,m,other,tragedy,6,10
Cym_MUSICIANS,m,other,tragedy,p,44
Cym_Philario,m,other,tragedy,2,292
Cym_Pisanio,m,other,tragedy,2,1499
Cym_Posthumus,m,other,tragedy,2,3391
Cym_Queen,f,other,tragedy,0,1209
Cym_SENATORS.1,m,other,tragedy,2,101
Cym_SENATORS.2,m,other,tragedy,2,1
Cym_SOLDIERS.BRITON.0.1,m,other,tragedy,4,30
Cym_SOLDIERS.BRITON.0.2,m,other,tragedy,4,51
Cym_SOLDIERS.ROMAN.0.1,m,other,tragedy,4,68
Cym_Soothsayer,m,other,tragedy,p,310
Cym_TRIBUNES.0.1,m,other,tragedy,3,15
Err_Abbess,f,other,comedy,3,552
Err_Adriana,f,other,comedy,2,2093
Err_Angelo,m,other,comedy,3,634
Err_AntipholusOfEphesus,m,antag,comedy,2,1745
Err_AntipholusOfSyracuse,m,protag,comedy,2,2083
Err_Balthasar,m,other,comedy,3,202
Err_Courtesan,f,other,comedy,4,293
Err_DromioOfEphesus,m,fool,comedy,6,1356
Err_DromioOfSyracuse,m,fool,comedy,6,2075
Err_Duke,m,other,comedy,0,693
Err_Egeon,m,other,comedy,2,1097
Err_Luce,f,other,comedy,6,63
Err_Luciana,f,other,comedy,2,760
Err_Merchant1,m,other,comedy,3,114
Err_Merchant2,m,other,comedy,3,268
Err_Messenger,m,other,comedy,6,130
Err_OFFICERS.Jailer,m,other,comedy,6,4
Err_OFFICERS.X,m,other,comedy,5,95
Err_Pinch,m,other,comedy,3,103
H5_AMBASSADORS.0.1,m,other,history,2,132
H5_ATTENDANTS.ENGLISH,m,other,history,1,1
H5_Alice,f,other,history,2,164
H5_Bardolph,m,other,history,5,224
H5_Bedford,m,other,history,1,77
H5_BishopOfCanterbury,m,other,history,1,1652
H5_BishopOfEly,m,other,history,2,240
H5_Bourbon,m,other,history,1,74
H5_Boy,m,other,history,6,626
H5_Brittany,m,other,history,1,65
H5_Burgundy,m,other,history,1,512
H5_Cambridge,m,other,history,1,107
H5_Chorus,m,other,history,p,1668
H5_Constable,m,other,history,2,922
H5_Dauphin,m,antag,history,1,905
H5_Erpingham,m,other,history,2,53
H5_Exeter,m,other,history,1,965
H5_Fluellen,m,other,history,4,2501
H5_Gloucester,m,other,history,1,28
H5_Governor,m,other,history,2,56
